experiment,setting,T,batch_size,floor,rep,method,beta,value
ts,1,600,10,0.8,0,pess,1.0,2.096503613665048
ts,1,600,10,0.8,0,pess,5.0,2.08083377514777
ts,1,600,10,0.8,0,pess,10.0,2.0798091337609788
ts,1,600,10,pure,0,greedy,0.0,2.0478901052628005
ts,1,600,10,pure,0,pess,0.1,2.0995522580472388
ts,1,600,10,pure,0,pess,0.2,2.096753119232935
ts,1,600,10,pure,0,pess,0.5,2.099082830283588
ts,1,600,10,pure,0,pess,1.0,2.0497745633689752
ts,1,600,10,pure,0,pess,5.0,2.064531260153121
ts,1,600,10,pure,0,pess,10.0,2.069712391464557
ts,2,300,100,0.2,0,greedy,0.0,1.5774612901240856
ts,2,300,100,0.2,0,pess,0.1,1.5769052753774502
ts,2,300,100,0.2,0,pess,0.2,1.6223039349636528
ts,2,300,100,0.2,0,pess,0.5,1.6389890412830523
ts,2,300,100,0.2,0,pess,1.0,1.3224443879948975
ts,2,300,100,0.2,0,pess,5.0,1.135527541743925
ts,2,300,100,0.2,0,pess,10.0,1.320473101396772
ts,2,300,100,0.5,0,greedy,0.0,1.2886120252336235
ts,2,300,100,0.5,0,pess,0.1,1.5769828468065352
ts,2,300,100,0.5,0,pess,0.2,1.4199359062444692
ts,2,300,100,0.5,0,pess,0.5,1.7286726993100474
ts,2,300,100,0.5,0,pess,1.0,1.6408248431112602
ts,2,300,100,0.5,0,pess,5.0,1.3757291867629775
ts,2,300,100,0.5,0,pess,10.0,1.2141726404511448
ts,2,300,100,0.8,0,greedy,0.0,1.5777286818574316
ts,2,300,100,0.8,0,pess,0.1,1.6580949630822652
ts,2,300,100,0.8,0,pess,0.2,1.55603238822225
ts,2,300,100,0.8,0,pess,0.5,1.6138172254900764
ts,2,300,100,0.8,0,pess,1.0,1.6861482786503688
ts,2,300,100,0.8,0,pess,5.0,1.4513858652759937
ts,2,300,100,0.8,0,pess,10.0,1.4131836365893036
ts,2,300,100,pure,0,greedy,0.0,1.7146705920220355
ts,2,300,100,pure,0,pess,0.1,1.6876693119819948
ts,2,300,100,pure,0,pess,0.2,1.6617606954377726
ts,2,300,100,pure,0,pess,0.5,1.6880040039366866
ts,2,300,100,pure,0,pess,1.0,1.7294322037162693
ts,2,300,100,pure,0,pess,5.0,1.3923469024326225
ts,2,300,100,pure,0,pess,10.0,1.2219876069704276
ts,2,300,10,0.2,0,greedy,0.0,1.5109840448942222
ts,2,300,10,0.2,0,pess,0.1,1.6573799360502948
ts,2,300,10,0.2,0,pess,0.2,1.6634418868311571
ts,2,300,10,0.2,0,pess,0.5,1.5805423947492825
ts,2,300,10,0.2,0,pess,1.0,1.2524104527539308
ts,2,300,10,0.2,0,pess,5.0,1.455016451077486
ts,2,300,10,0.2,0,pess,10.0,1.2374169850619128
ts,2,300,10,0.5,0,greedy,0.0,1.4540601046930095
ts,2,300,10,0.5,0,pess,0.1,1.7108985595862436
ts,2,300,10,0.5,0,pess,0.2,1.7083423951214076
ts,2,300,10,0.5,0,pess,0.5,1.806638557022597
ts,2,300,10,0.5,0,pess,1.0,1.7432228053316283
ts,2,300,10,0.5,0,pess,5.0,1.729909002483586
ts,2,300,10,0.5,0,pess,10.0,1.5338425292360631
ts,2,300,10,0.8,0,greedy,0.0,1.64876325021637
ts,2,300,10,0.8,0,pess,0.1,1.5945099197118804
ts,2,300,10,0.8,0,pess,0.2,1.5967145355446484
ts,2,300,10,0.8,0,pess,0.5,1.6738295662498253
ts,2,300,10,0.8,0,pess,1.0,1.563382085506539
ts,2,300,10,0.8,0,pess,5.0,1.498851846318631
ts,2,300,10,0.8,0,pess,10.0,1.350253228501806
ts,2,300,10,pure,0,greedy,0.0,1.64138588831362
ts,2,300,10,pure,0,pess,0.1,1.8026539491758573
ts,2,300,10,pure,0,pess,0.2,1.8026539491758573
ts,2,300,10,pure,0,pess,0.5,1.7780917117253607
ts,2,300,10,pure,0,pess,1.0,1.8046719385012973
ts,2,300,10,pure,0,pess,5.0,1.7383416386339778
ts,2,300,10,pure,0,pess,10.0,1.6417364212967005
ts,2,600,100,0.2,0,greedy,0.0,1.696045645546434
ts,2,600,100,0.2,0,pess,0.1,1.819479523356868
ts,2,600,100,0.2,0,pess,0.2,1.823049528977284
ts,2,600,100,0.2,0,pess,0.5,1.7056691425772377
ts,2,600,100,0.2,0,pess,1.0,1.7086838356428613
ts,2,600,100,0.2,0,pess,5.0,1.5503179565559138
ts,2,600,100,0.2,0,pess,10.0,1.528273264982806
ts,2,600,100,0.5,0,greedy,0.0,1.5126570564538602
ts,2,600,100,0.5,0,pess,0.1,1.7827011861955897
ts,2,600,100,0.5,0,pess,0.2,1.7774746137467996
ts,2,600,100,0.5,0,pess,0.5,1.7776027875969134
ts,2,600,100,0.5,0,pess,1.0,1.7516866820647583
ts,2,600,100,0.5,0,pess,5.0,1.6750437006097274
ts,2,600,100,0.5,0,pess,10.0,1.6349322207005126
ts,2,600,100,0.8,0,greedy,0.0,1.7345613626999143
ts,2,600,100,0.8,0,pess,0.1,1.6960337443070472
ts,2,600,100,0.8,0,pess,0.2,1.757681679717371
ts,2,600,100,0.8,0,pess,0.5,1.7177635078966649
ts,2,600,100,0.8,0,pess,1.0,1.7669975505910762
ts,2,600,100,0.8,0,pess,5.0,1.4937283675715312
ts,2,600,100,0.8,0,pess,10.0,1.4645451940760437
ts,2,600,100,pure,0,greedy,0.0,1.6505272430997693
ts,2,600,100,pure,0,pess,0.1,1.70586786858366
ts,2,600,100,pure,0,pess,0.2,1.7047361028727492
ts,2,600,100,pure,0,pess,0.5,1.7115327909894595
ts,2,600,100,pure,0,pess,1.0,1.7043249441702009
ts,2,600,100,pure,0,pess,5.0,1.7539675050690549
ts,2,600,100,pure,0,pess,10.0,1.722820496431269
ts,2,600,10,0.2,0,greedy,0.0,1.5456604938812029
ts,2,600,10,0.2,0,pess,0.1,1.732371375424418
ts,2,600,10,0.2,0,pess,0.2,1.6471229638454992
ts,2,600,10,0.2,0,pess,0.5,1.6402739807742
ts,2,600,10,0.2,0,pess,1.0,1.6227476581628149
ts,2,600,10,0.2,0,pess,5.0,1.6155765696506796
ts,2,600,10,0.2,0,pess,10.0,1.4469299734190697
ts,2,600,10,0.5,0,greedy,0.0,1.683085496627813
ts,2,600,10,0.5,0,pess,0.1,1.84613822485399
ts,2,600,10,0.5,0,pess,0.2,1.7978875475123404
ts,2,600,10,0.5,0,pess,0.5,1.838749645284412
ts,2,600,10,0.5,0,pess,1.0,1.874219243808561
ts,2,600,10,0.5,0,pess,5.0,1.8271468163211924
ts,2,600,10,0.5,0,pess,10.0,1.7204668507335483
ts,2,600,10,0.8,0,greedy,0.0,1.8544057500320803
ts,2,600,10,0.8,0,pess,0.1,1.878257332120187
ts,2,600,10,0.8,0,pess,0.2,1.883799268383806
ts,2,600,10,0.8,0,pess,0.5,1.864066333077084
ts,2,600,10,0.8,0,pess,1.0,1.8566313525751617
ts,2,600,10,0.8,0,pess,5.0,1.6494531640278718
ts,2,600,10,0.8,0,pess,10.0,1.6604033728014471
ts,2,600,10,pure,0,greedy,0.0,1.625436477511488
ts,2,600,10,pure,0,pess,0.1,1.80317129316971
ts,2,600,10,pure,0,pess,0.2,1.7683149066460817
ts,2,600,10,pure,0,pess,0.5,1.790224391943847
ts,2,600,10,pure,0,pess,1.0,1.7038162583039382
ts,2,600,10,pure,0,pess,5.0,1.7909538711103403
ts,2,600,10,pure,0,pess,10.0,1.588152721019384
ts,3,300,100,0.2,0,greedy,0.0,1.345398835773633
ts,3,300,100,0.2,0,pess,0.001,1.4986585659898644
ts,3,300,100,0.2,0,pess,0.01,1.41738040608942
ts,3,300,100,0.2,0,pess,0.1,1.3811161003676853
ts,3,300,100,0.2,0,pess,0.2,1.4118036166912291
ts,3,300,100,0.2,0,pess,0.5,1.4637512392139025
ts,3,300,100,0.2,0,pess,1.0,1.7715875158517425
ts,3,300,100,0.2,0,pess,5.0,1.349883573371441
ts,3,300,100,0.2,0,pess,10.0,1.3502499258309422
ts,3,300,100,0.5,0,greedy,0.0,1.5556323733473223
ts,3,300,100,0.5,0,pess,0.001,1.5686203973896415
ts,3,300,100,0.5,0,pess,0.01,1.579175302431496
ts,3,300,100,0.5,0,pess,0.1,1.5967627026717215
ts,3,300,100,0.5,0,pess,0.2,1.5558823205831986
ts,3,300,100,0.5,0,pess,0.5,1.6397883696647322
ts,3,300,100,0.5,0,pess,1.0,1.5900119844045342
ts,3,300,100,0.5,0,pess,5.0,1.6417187231513322
ts,3,300,100,0.5,0,pess,10.0,1.424306328732568
ts,3,300,100,0.8,0,greedy,0.0,1.6600799302843412
ts,3,300,100,0.8,0,pess,0.001,1.596758819002141
ts,3,300,100,0.8,0,pess,0.01,1.6367469850023275
ts,3,300,100,0.8,0,pess,0.1,1.374791934148715
ts,3,300,100,0.8,0,pess,0.2,1.652873425475449
ts,3,300,100,0.8,0,pess,0.5,1.4458897873729095
ts,3,300,100,0.8,0,pess,1.0,1.6151175574347494
ts,3,300,100,0.8,0,pess,5.0,1.2013843580930623
ts,3,300,100,0.8,0,pess,10.0,1.476275475027662
ts,3,300,100,pure,0,greedy,0.0,1.4893469647340594
ts,3,300,100,pure,0,pess,0.001,1.591569563725273
ts,3,300,100,pure,0,pess,0.01,1.5632768142124376
ts,3,300,100,pure,0,pess,0.1,1.5094776586287666
ts,3,300,100,pure,0,pess,0.2,1.5016922366738863
ts,3,300,100,pure,0,pess,0.5,1.6176748532183771
ts,3,300,100,pure,0,pess,1.0,1.4585330849110227
ts,3,300,100,pure,0,pess,5.0,1.656142498048814
ts,3,300,100,pure,0,pess,10.0,1.5963376606290636
ts,3,300,10,0.2,0,greedy,0.0,1.5752288952236224
ts,3,300,10,0.2,0,pess,0.001,1.561632316803306
ts,3,300,10,0.2,0,pess,0.01,1.6776883651921404
ts,3,300,10,0.2,0,pess,0.1,1.5539074159050963
ts,3,300,10,0.2,0,pess,0.2,1.5505511449589835
ts,3,300,10,0.2,0,pess,0.5,1.5300497262171968
ts,3,300,10,0.2,0,pess,1.0,1.6295691985391676
ts,3,300,10,0.2,0,pess,5.0,1.4730138050958357
ts,3,300,10,0.2,0,pess,10.0,1.4243908704130028
ts,3,300,10,0.5,0,greedy,0.0,1.6600050171956564
ts,3,300,10,0.5,0,pess,0.001,1.4304506482467976
ts,3,300,10,0.5,0,pess,0.01,1.4143464550629792
ts,3,300,10,0.5,0,pess,0.1,1.4188285063656711
ts,3,300,10,0.5,0,pess,0.2,1.416803201927105
ts,3,300,10,0.5,0,pess,0.5,1.3715162473901603
ts,3,300,10,0.5,0,pess,1.0,1.3323020844529363
ts,3,300,10,0.5,0,pess,5.0,1.2127182922374866
ts,3,300,10,0.5,0,pess,10.0,1.277088036030568
ts,3,300,10,0.8,0,greedy,0.0,1.526555498790905
ts,3,300,10,0.8,0,pess,0.001,1.5128140804173245
ts,3,300,10,0.8,0,pess,0.01,1.553972455771382
ts,3,300,10,0.8,0,pess,0.1,1.55447224119059
ts,3,300,10,0.8,0,pess,0.2,1.5670021397570564
ts,3,300,10,0.8,0,pess,0.5,1.5544012511305323
ts,3,300,10,0.8,0,pess,1.0,1.6024376276658914
ts,3,300,10,0.8,0,pess,5.0,1.504827431252994
ts,3,300,10,0.8,0,pess,10.0,1.3972814893892564
ts,3,300,10,pure,0,greedy,0.0,1.5838222096200325
ts,3,300,10,pure,0,pess,0.001,1.5061020842057553
ts,3,300,10,pure,0,pess,0.01,1.59686010285854
ts,3,300,10,pure,0,pess,0.1,1.585995634067955
ts,3,300,10,pure,0,pess,0.2,1.5604436411724183
ts,3,300,10,pure,0,pess,0.5,1.6417347502228226
ts,3,300,10,pure,0,pess,1.0,1.6267992797254605
ts,3,300,10,pure,0,pess,5.0,1.6971853350373742
ts,3,300,10,pure,0,pess,10.0,1.425389372820299
ts,3,600,100,0.2,0,greedy,0.0,1.4768742116960318
ts,3,600,100,0.2,0,pess,0.001,1.495181608167532
ts,3,600,100,0.2,0,pess,0.01,1.6067248169357922
ts,3,600,100,0.2,0,pess,0.1,1.4986305194577725
ts,3,600,100,0.2,0,pess,0.2,1.4564839292727312
ts,3,600,100,0.2,0,pess,0.5,1.5201553424097525
ts,3,600,100,0.2,0,pess,1.0,1.4405076766654892
ts,3,600,100,0.2,0,pess,5.0,1.3480528858755123
ts,3,600,100,0.2,0,pess,10.0,1.5462168657577913
ts,3,600,100,0.5,0,greedy,0.0,1.6504144753821577
ts,3,600,100,0.5,0,pess,0.001,1.693484022538573
ts,3,600,100,0.5,0,pess,0.01,1.6010215382766615
ts,3,600,100,0.5,0,pess,0.1,1.6354038037049623
ts,3,600,100,0.5,0,pess,0.2,1.5630885621357662
ts,3,600,100,0.5,0,pess,0.5,1.612961291492061
ts,3,600,100,0.5,0,pess,1.0,1.5674300664016236
ts,3,600,100,0.5,0,pess,5.0,1.3109243262270402
ts,3,600,100,0.5,0,pess,10.0,1.4102556447795291
ts,3,600,100,0.8,0,greedy,0.0,1.6725001936681871
ts,3,600,100,0.8,0,pess,0.001,1.6288568399892802
ts,3,600,100,0.8,0,pess,0.01,1.6126880299091488
ts,3,600,100,0.8,0,pess,0.1,1.5814279433622662
ts,3,600,100,0.8,0,pess,0.2,1.6805206248795186
ts,3,600,100,0.8,0,pess,0.5,1.673307756400909
ts,3,600,100,0.8,0,pess,1.0,1.662845112255372
ts,3,600,100,0.8,0,pess,5.0,1.6551338988357858
ts,3,600,100,0.8,0,pess,10.0,1.700621749167016
ts,3,600,100,pure,0,greedy,0.0,1.5751814222397211
ts,3,600,100,pure,0,pess,0.001,1.5431268481380642
ts,3,600,100,pure,0,pess,0.01,1.656460536730718
ts,3,600,100,pure,0,pess,0.1,1.6823916164416288
ts,3,600,100,pure,0,pess,0.2,1.6042352647379248
ts,3,600,100,pure,0,pess,0.5,1.6565679524428891
ts,3,600,100,pure,0,pess,1.0,1.5680838018437055
ts,3,600,100,pure,0,pess,5.0,1.624573601077312
ts,3,600,100,pure,0,pess,10.0,1.598699139380943
ts,3,600,10,0.2,0,greedy,0.0,1.4953299323322533
ts,3,600,10,0.2,0,pess,0.001,1.5429150268393907
ts,3,600,10,0.2,0,pess,0.01,1.6608234812948317
ts,3,600,10,0.2,0,pess,0.1,1.443382866011576
ts,3,600,10,0.2,0,pess,0.2,1.5196820330217895
ts,3,600,10,0.2,0,pess,0.5,1.4887799607881436
ts,3,600,10,0.2,0,pess,1.0,1.3182789763273788
ts,3,600,10,0.2,0,pess,5.0,1.3833106751256523
ts,3,600,10,0.2,0,pess,10.0,1.4244887751344846
ts,3,600,10,0.5,0,greedy,0.0,1.7131300670002896
ts,3,600,10,0.5,0,pess,0.001,1.6703290330570073
ts,3,600,10,0.5,0,pess,0.01,1.6941841356310787
ts,3,600,10,0.5,0,pess,0.1,1.716524875681576
ts,3,600,10,0.5,0,pess,0.2,1.6982034850969985
ts,3,600,10,0.5,0,pess,0.5,1.6861133278540552
ts,3,600,10,0.5,0,pess,1.0,1.6911991708486145
ts,3,600,10,0.5,0,pess,5.0,1.6724724572402048
ts,3,600,10,0.5,0,pess,10.0,1.630666494069532
ts,3,600,10,0.8,0,greedy,0.0,1.664464173414057
ts,3,600,10,0.8,0,pess,0.001,1.7561590917460186
ts,3,600,10,0.8,0,pess,0.01,1.7792919702702823
ts,3,600,10,0.8,0,pess,0.1,1.7055495192391026
ts,3,600,10,0.8,0,pess,0.2,1.6763851478346885
ts,3,600,10,0.8,0,pess,0.5,1.6196479685778764
ts,3,600,10,0.8,0,pess,1.0,1.663585663063693
ts,3,600,10,0.8,0,pess,5.0,1.7333553838899334
ts,3,600,10,0.8,0,pess,10.0,1.626609093875416
ts,3,600,10,pure,0,greedy,0.0,1.770284270907484
ts,3,600,10,pure,0,pess,0.001,1.7370593824664429
ts,3,600,10,pure,0,pess,0.01,1.7112400393420315
ts,3,600,10,pure,0,pess,0.1,1.7237520492003544
ts,3,600,10,pure,0,pess,0.2,1.7276526104527683
ts,3,600,10,pure,0,pess,0.5,1.725163324119656
ts,3,600,10,pure,0,pess,1.0,1.6922084733705165
ts,3,600,10,pure,0,pess,5.0,1.6896609126071185
ts,3,600,10,pure,0,pess,10.0,1.6982230721114635
